genome	3-Hydroxypropionate bi-cycle	Acetyl-CoA pathway, CO2 => acetyl-CoA	Citrate cycle (TCA cycle, Krebs cycle)	Dicarboxylate-hydroxybutyrate cycle	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glyoxylate cycle	Hydroxypropionate-hydroxybutylate cycle	Methanogenesis, CO2 => methane	Pentose phosphate pathway (Pentose phosphate cycle)	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Reductive citrate cycle (Arnon-Buchanan cycle)	Reductive pentose phosphate cycle (Calvin cycle)	Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Complex I: NADH:quinone oxidoreductase, prokaryotes	Complex II: Fumarate reductase, prokaryotes	Complex II: Succinate dehydrogenase (ubiquinone)	Complex II: Succinate dehydrogenase, prokaryotes	Complex III: Cytochrome bc1 complex	Complex III: Cytochrome bc1 complex respiratory unit	Complex III: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome c oxidase, cbb3-type	Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase	Complex IV Low affinity: Cytochrome c oxidase	Complex IV Low affinity: Cytochrome c oxidase, prokaryotes	Complex IV Low affinity: Cytochrome o ubiquinol oxidase	Complex V: F-type ATPase, eukaryotes	Complex V: F-type ATPase, prokaryotes and chloroplasts	Complex V: V-type ATPase, eukaryotes	Complex V: V/A-type ATPase, prokaryotes	CAZy: Alpha-galactans	CAZy: Alpha-mannan	CAZy: Amorphous Cellulose	CAZy: Arabinan	CAZy: Arabinose cleavage	CAZy: Beta-galactan (pectic galactan)	CAZy: Beta-mannan	CAZy: Chitin	CAZy: Crystalline Cellulose	CAZy: Fucose Cleavage	CAZy: Mixed-Linkage glucans	CAZy: Mucin	CAZy: Pectin	CAZy: Polyphenolics	CAZy: Rhamnose cleavage	CAZy: Starch	CAZy: Sulf-Polysachharides	CAZy: Xylans	CAZy: Xyloglucan	Methanogenesis and methanotrophy: Key functional gene	Methanogenesis and methanotrophy: acetate => methane, pt 1	Methanogenesis and methanotrophy: acetate => methane, pt 2	Methanogenesis and methanotrophy: acetate => methane, pt 3	Methanogenesis and methanotrophy: dimethylamine => monomethylamine	Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)	Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)	Methanogenesis and methanotrophy: methanol => methane	Methanogenesis and methanotrophy: monomethylamine => ammonia	Methanogenesis and methanotrophy: putative but not defining CO2 => methane	Methanogenesis and methanotrophy: trimethylamine => dimethylamine	Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation	Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation	Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation	Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)	Nitrogen metabolism: Nitrogen fixation altennative	Nitrogen metabolism: ammonia => nitrite	Nitrogen metabolism: nitrate => nitrite	Nitrogen metabolism: nitric oxide => nitrous oxide	Nitrogen metabolism: nitrite => nitrate	Nitrogen metabolism: nitrite => nitric oxide	Nitrogen metabolism: nitrogen => ammonia	Nitrogen metabolism: nitrous oxide => nitrogen	Other Reductases: TMAO reductase	Other Reductases: arsenate reduction, pt 1	Other Reductases: arsenate reduction, pt 2	Other Reductases: mercury reduction	Other Reductases: selenate/Chlorate reduction	Photosynthesis: Photosystem I	Photosynthesis: Photosystem II	SCFA and alcohol conversions: Alcohol production	SCFA and alcohol conversions: Butyrate, pt 1	SCFA and alcohol conversions: Butyrate, pt 2	SCFA and alcohol conversions: Propionate, pt 1	SCFA and alcohol conversions: Propionate, pt 2	SCFA and alcohol conversions: acetate, pt 1	SCFA and alcohol conversions: acetate, pt 2	SCFA and alcohol conversions: acetate, pt 3	SCFA and alcohol conversions: lactate D	SCFA and alcohol conversions: lactate L	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	Sulfur metabolism: tetrathionate => thiosulfate	Sulfur metabolism: thiosulfate => sulfite
bin_s10.cct36	0.0	0.0	0.75	0.46153846153846156	0.0	0.2222222222222222	0.6	0.07142857142857142	0.0	0.14285714285714285	0.0	0.6	0.45454545454545453	0.0	0.0	0.4166666666666667	0.0	0.0	0.5	0.0	0.0	0.6666666666666666	0.6666666666666666	0.0	0.0	0.06666666666666667	0.0	0.75	0.0	0.875	0.0	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
bin_s13.cct32	0.0	0.0	1.0	0.5384615384615384	0.0	0.6666666666666666	1.0	0.07142857142857142	0.0	0.7142857142857143	0.14285714285714285	0.7	0.7272727272727273	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False
bin_s13.cct72	0.0	0.0	0.875	0.23076923076923078	0.0	0.6666666666666666	0.2	0.07142857142857142	0.0	0.42857142857142855	0.14285714285714285	0.4	0.5454545454545454	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.13333333333333333	0.0	0.0	0.0	0.875	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False
bin_s13.mtb14	0.0	0.0	0.5	0.23076923076923078	0.5	1.0	0.0	0.07142857142857142	0.0	0.8571428571428571	0.14285714285714285	0.6	0.6363636363636364	0.0	0.0	0.18181818181818182	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	1.0	False	False	True	True	True	False	False	True	False	True	True	True	False	False	True	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	True	False	False	True	True	False	False	True	False	True	True	False	False	False	False
bin_s13.mtb41_sub	0.0	0.0	0.875	0.15384615384615385	0.25	0.3333333333333333	0.6	0.0	0.0	0.5714285714285714	0.2857142857142857	0.6	0.45454545454545453	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.375	0.0	0.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False
bin_s13.mtb55	0.0	0.0	0.75	0.3076923076923077	0.5	0.7777777777777778	1.0	0.07142857142857142	0.0	0.7142857142857143	0.42857142857142855	0.4	0.7272727272727273	0.0	0.0	0.0	0.0	0.0	0.75	0.0	1.0	0.6666666666666666	0.6666666666666666	0.0	0.0	0.13333333333333333	0.6666666666666666	0.0	0.0	0.625	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False
bin_s13.mxb16	0.0	0.0	1.0	0.5384615384615384	0.0	0.7777777777777778	1.0	0.07142857142857142	0.0	0.7142857142857143	0.42857142857142855	0.7	0.7272727272727273	0.0	0.0	1.0	0.0	0.0	1.0	0.3	1.0	1.0	1.0	1.0	0.0	0.06666666666666667	0.0	1.0	0.0	1.0	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	True	False	False	False	False	True	False
bin_s13.mxb21_sub	0.0	0.0	0.375	0.23076923076923078	0.0	0.2222222222222222	0.2	0.07142857142857142	0.0	0.2857142857142857	0.0	0.3	0.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False
bin_s13.vmb19	0.0	0.0	0.875	0.15384615384615385	0.25	0.7777777777777778	0.4	0.0	0.0	0.7142857142857143	0.42857142857142855	0.4	0.7272727272727273	0.0	0.0	0.8571428571428571	0.0	0.0	1.0	0.3	1.0	0.6666666666666666	0.6666666666666666	0.75	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	True	False	False	True	False
bin_s13.vmb53	0.0	0.0	1.0	0.38461538461538464	0.0	0.4444444444444444	1.0	0.14285714285714285	0.0	0.5714285714285714	0.2857142857142857	0.8	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.75	0.0	1.0	0.6666666666666666	0.6666666666666666	0.0	0.0	0.13333333333333333	0.5	0.0	0.0	1.0	0.0	0.0	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
